CoatCheck,Attire,ReviewCount,TakeAway,State,CreditCards,City,Open,Smoking,Caters,TransitNearby,IsCasual,IsUpscale,BestNIghtMonThur,BestNightFriSat,School,GoodForLunch,GoodForDinner,HasMusic,Longitude,OutdoorSeating,GoodForGroups,WiFi,Alcohol,WaiterService,Delivery,HappyHour,GoodForKids,TakeOut,AvgPrice,NoiseLevel,HasTV,Latitude,GoodForDancing,NominalStars
?,Casual,19,?,MI,Yes,Ann Arbor,TRUE,?,No,N,N,N,N,N,University of Michigan - Ann Arbor,Y,N,N,-83.736603,No,Yes,No,No,Yes,No,?,Yes,Yes,7,Quiet,No,42.290699,?,high
?,Casual,2,?,NY,Yes,Watervliet,TRUE,?,Yes,N,N,N,N,N,Rensselaer Polytechnic Institute,N,N,N,-73.708267,No,?,?,No,No,Yes,?,Yes,Yes,20,?,?,42.711528,?,high
?,Casual,9,?,CA,Yes,Pasadena,TRUE,?,?,N,N,N,N,N,California Institute of Technology,N,Y,N,-118.128998,Yes,Yes,?,No,No,No,?,Yes,Yes,20,?,?,34.1409,?,low
?,Casual,13,?,NJ,Yes,Princeton,TRUE,?,Yes,N,N,N,N,N,Princeton University,N,N,N,-74.661697,Yes,No,?,No,No,Yes,?,Yes,Yes,7,Quiet,No,40.349839,?,high
?,?,45,?,MD,?,Hyattsville,TRUE,?,?,Y,N,N,N,N,University of Maryland - College Park,N,N,N,-76.952164,?,?,?,?,?,?,?,?,?,?,?,?,38.968363,?,high
?,Casual,4,?,CA,Yes,Los Angeles,TRUE,?,?,N,N,N,N,N,University of Southern California,N,N,N,-118.290138,Yes,Yes,?,No,No,Yes,?,Yes,Yes,20,Average,?,34.018146,?,low
?,Casual,107,?,CA,Yes,La Jolla,TRUE,?,No,N,Y,N,N,N,University of California - San Diego,Y,Y,N,-117.229562,No,Yes,No,Full Bar,Yes,No,?,Yes,Yes,20,Average,Yes,32.868138,?,low
?,?,2,?,VA,?,Christiansburg,TRUE,?,?,N,N,N,N,N,Virginia Tech,N,N,N,-80.4217,?,?,?,?,?,?,?,?,?,?,?,?,37.164001,?,low
No,Casual,20,?,PA,Yes,Pittsburgh,FALSE,Yes,?,N,N,N,Y,Y,Carnegie Mellon University,N,N,Y,-79.934303,Yes,Yes,?,Full Bar,Yes,No,Yes,No,Yes,20,?,Yes,40.450901,?,low
?,?,24,?,RI,?,Providence,TRUE,?,?,Y,N,N,N,N,Brown University,N,N,N,-71.409103,?,?,?,?,?,?,?,?,?,?,?,?,41.8241,?,low
?,Casual,8,?,NY,Yes,Troy,TRUE,?,Yes,N,N,N,N,N,Rensselaer Polytechnic Institute,Y,Y,N,-73.688004,No,Yes,?,No,Yes,Yes,?,Yes,Yes,7,?,?,42.732399,?,high
?,Casual,7,?,CA,?,San Luis Obispo,TRUE,?,?,N,N,N,N,N,California Polytechnic State University,Y,N,N,-120.664057,Yes,Yes,?,No,No,No,?,Yes,Yes,7,Quiet,No,35.287916,?,low
?,Casual,4,Yes,ON,Yes,Waterloo,TRUE,?,Yes,N,N,N,N,N,University of Waterloo,N,N,N,-80.523143,No,Yes,No,?,Yes,Yes,?,Yes,?,7,Average,Yes,43.476741,?,high
?,Casual,5,?,IL,Yes,Champaign,TRUE,?,Yes,N,N,N,N,N,University of Illinois - Urbana-Champaign,N,N,N,-88.238098,No,No,No,No,No,Yes,?,No,Yes,7,Quiet,No,40.110298,?,low
